bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/9/2024 9:00:00 AM,6/9/2024 5:00:00 AM,167624.40,168120.90,172374.10
6/9/2024 10:00:00 AM,6/9/2024 6:00:00 AM,168976.70,169493.10,172374.10
6/9/2024 11:00:00 AM,6/9/2024 7:00:00 AM,170429.00,170693.80,172374.10
6/9/2024 12:00:00 PM,6/9/2024 8:00:00 AM,172545.00,172826.20,172374.10
6/9/2024 1:00:00 PM,6/9/2024 9:00:00 AM,173535.50,173833.10,172374.10
6/9/2024 2:00:00 PM,6/9/2024 10:00:00 AM,174563.20,174870.80,172374.10
6/9/2024 3:00:00 PM,6/9/2024 11:00:00 AM,176080.30,176377.30,172374.10
6/9/2024 4:00:00 PM,6/9/2024 12:00:00 PM,177705.90,177991.90,172374.10
6/9/2024 5:00:00 PM,6/9/2024 1:00:00 PM,178569.20,178829.30,172374.10
6/9/2024 6:00:00 PM,6/9/2024 2:00:00 PM,179933.80,180166.10,172374.10
6/9/2024 7:00:00 PM,6/9/2024 3:00:00 PM,179075.30,179563.60,172374.10
6/9/2024 8:00:00 PM,6/9/2024 4:00:00 PM,179909.80,180159.50,172374.10
6/9/2024 9:00:00 PM,6/9/2024 5:00:00 PM,179818.30,180046.30,172374.10
6/9/2024 10:00:00 PM,6/9/2024 6:00:00 PM,178401.40,178648.50,172374.10
6/9/2024 11:00:00 PM,6/9/2024 7:00:00 PM,175652.80,175935.10,172374.10
6/10/2024 12:00:00 AM,6/9/2024 8:00:00 PM,177469.30,179262.10,172374.10
6/10/2024 1:00:00 AM,6/9/2024 9:00:00 PM,177818.10,179664.90,172374.10
6/10/2024 2:00:00 AM,6/9/2024 10:00:00 PM,177674.20,179540.00,172374.10
6/10/2024 3:00:00 AM,6/9/2024 11:00:00 PM,177579.40,179445.20,172374.10
6/10/2024 4:00:00 AM,6/10/2024 12:00:00 AM,171218.40,171637.80,172374.10
6/10/2024 5:00:00 AM,6/10/2024 1:00:00 AM,170313.20,170881.90,172374.10
6/10/2024 6:00:00 AM,6/10/2024 2:00:00 AM,170324.90,170957.40,172374.10
6/10/2024 7:00:00 AM,6/10/2024 3:00:00 AM,170260.50,170781.70,172374.10
6/10/2024 8:00:00 AM,6/10/2024 4:00:00 AM,170373.40,170916.50,172374.10
