,Ours,Competitor1,Competitor2,PJM,Demand
2024-08-05 12:00:00,550994636.0823985,505420319.89945245,493237956.58834565,887991134,482290980.0
2024-08-05 13:00:00,551146255.3300384,505561313.89945245,493337566.81219584,888167894,482428833.0
2024-08-05 14:00:00,551298814.1720998,505708283.1246579,493436852.88389194,888344844,482570719.0
2024-08-05 15:00:00,551451471.349068,505857033.1246579,493535814.9398122,888520975,482714911.0
2024-08-05 16:00:00,551604128.5260363,506005782.9619182,493634453.1240081,888696723,482860481.0
2024-08-05 17:00:00,551756785.7030045,506154532.9619182,493732767.5886663,888871186,483006477.0
2024-08-05 18:00:00,551909442.8799727,506303211.2150689,493830758.4945992,889043736,483150945.0
2024-08-05 19:00:00,552061062.1276126,506443880.17013735,493928426.0117668,889214425,483291077.0
2024-08-05 20:00:00,552209305.4341918,506580536.17013735,494025770.319831,889394169,483426247.0
2024-08-05 21:00:00,552352207.2804167,506712271.6120552,494122791.6087455,889573930,483555595.0
2024-08-05 22:00:00,552490904.4562038,506835937.40164423,494219490.0793823,889753898,483676484.0
2024-08-05 23:00:00,552609978.7516036,506950474.2249319,494315865.94419825,889934008,483789139.0
2024-08-06 00:00:00,552725685.8673452,507063014.2249319,494418221.53648883,890103084,483894304.0
2024-08-06 01:00:00,552834029.0354978,507164659.2249319,494520251.87757784,890272276,483993980.0
2024-08-06 02:00:00,552937101.0009336,507265325.73835653,494621957.04334176,890442193,484089519.0
2024-08-06 03:00:00,553037098.6596916,507362193.5583565,494723337.1137408,890612567,484182616.0
2024-08-06 04:00:00,553136040.1435739,507459142.5583565,494824392.17305756,890783419,484275275.0
2024-08-06 05:00:00,553236400.6417363,507555445.5583565,494925122.31015027,890954113,484370222.0
2024-08-06 06:00:00,553340862.749275,507653600.5583565,495025527.6187218,891125336,484469158.0
2024-08-06 07:00:00,553454259.4448843,507758058.6904113,495125608.19760525,891298056,484572851.0
2024-08-06 08:00:00,553569966.5606259,507867261.003836,495225364.15106726,891471949,484682460.0
2024-08-06 09:00:00,553696263.6122297,507984920.85835654,495324795.5891298,891646474,484798175.0
2024-08-06 10:00:00,553834292.3459288,508107100.85835654,495423902.62791246,891822592,484920407.0
2024-08-06 11:00:00,553979098.1887321,508237066.3545209,495522685.3899956,891999094,485048636.0
2024-08-06 12:00:00,554122741.5459207,508371093.3545209,495621144.00480634,892176422,485182427.0
2024-08-06 13:00:00,554270984.8525,508507749.3545209,495719278.6090288,892353629,485320397.0
2024-08-06 14:00:00,554421554.9327651,508647729.65726066,495817089.3470396,892530358,485460476.0
2024-08-06 15:00:00,554572539.6416267,508788455.3317812,495914576.3713709,892706721,485599868.0
2024-08-06 16:00:00,554724158.8892666,508929169.22328806,496011739.84320295,892883064,485737025.0
2024-08-06 17:00:00,554874813.6853397,509069879.22328806,496108579.93288654,893058482,485871351.0
2024-08-06 18:00:00,555023056.9919189,509211349.0172607,496205096.8204996,893233239,486001639.0
2024-08-06 19:00:00,555166700.3491075,509343128.52767164,496301290.6964381,893405922,486127448.0
2024-08-06 20:00:00,555311506.1919109,509475367.0953429,496397161.7620444,893585147,486249101.0
2024-08-06 21:00:00,555452386.99881,509602328.0953429,496492710.2302762,893764519,486365483.0
2024-08-06 22:00:00,555575202.6539366,509721131.0953429,496587936.32641655,893944149,486474528.0
2024-08-06 23:00:00,555690909.7696782,509833641.23260313,496682840.2888301,894124149,486576118.0
2024-08-07 00:00:00,555799252.9378308,509935257.59041137,496783717.95996416,894294066,486671252.0
2024-08-07 01:00:00,555899613.4359932,510034640.5591785,496884270.538564,894463684,486761672.0
2024-08-07 02:00:00,555994300.3736076,510127456.97616476,496984498.10908914,894633491,486848936.0
2024-08-07 03:00:00,556088547.3339924,510217041.703562,497084400.7605857,894803102,486934379.0
2024-08-07 04:00:00,556182794.2943771,510307850.69835657,497183978.5869564,894972609,487019543.0
2024-08-07 05:00:00,556277481.2319915,510400515.34657574,497283231.6872465,895142399,487107291.0
2024-08-07 06:00:00,556378120.1876714,510498026.0726031,497382160.1659482,895312219,487199368.0
2024-08-07 07:00:00,556485337.7669954,510600246.0726031,497480764.1333233,895482267,487295217.0
2024-08-07 08:00:00,556598734.4626048,510706980.5953428,497579043.7057462,895653012,487395026.0
2024-08-07 09:00:00,556714441.5783464,510814219.1493154,497676999.0060681,895823846,487498274.0
2024-08-07 10:00:00,556830437.5952923,510925815.0052058,497774630.16400427,895995358,487605281.0
2024-08-07 11:00:00,556949751.5938829,511040896.0095894,497871937.31654483,896168173,487716323.0
2024-08-07 12:00:00,557077173.2809632,511158608.0095894,497968920.60839206,896342611,487831104.0
2024-08-07 13:00:00,557214399.9961807,511285069.35095924,498065580.1924245,896516931,487948475.0
2024-08-07 14:00:00,557352428.7298797,511408401.623836,498161916.2301902,896691042,488067863.0
2024-08-07 15:00:00,557490457.4635788,511530667.623836,498257928.89243186,896864128,488187963.0
2024-08-07 16:00:00,557628486.1972779,511652933.623836,498353618.3596437,897037307,488308439.0
2024-08-07 17:00:00,557767183.373065,511775826.79808253,498448984.8226646,897210107,488428412.0
2024-08-07 18:00:00,557905212.1067641,511899159.07095927,498544028.48330843,897382100,488546217.0
2024-08-07 19:00:00,558034063.9374255,512022441.7082195,498638749.5550339,897552679,488660947.0
2024-08-07 20:00:00,558153377.9360161,512136938.98684967,498733148.26365757,897730748,488773037.0
2024-08-07 21:00:00,558269085.0517577,512246887.98684967,498827224.8481116,897909230,488881494.0
2024-08-07 22:00:00,558380412.8767029,512354225.4295894,498920979.5612502,898087441,488983910.0
2024-08-07 23:00:00,558481914.7435669,512453182.4295894,499014412.67070705,898266038,489079820.0
2024-08-08 00:00:00,558576601.6811813,512546018.4295894,499113812.75242156,898435426,489170223.0
2024-08-08 01:00:00,558670848.641566,512634665.6695894,499212887.91830564,898604694,489256401.0
2024-08-08 02:00:00,558764994.6285714,512720221.5063017,499311638.26246184,898773992,489339690.0
2024-08-08 03:00:00,558858776.6282423,512804222.5063017,499410063.8841481,898942822,489421156.0
2024-08-08 04:00:00,558952558.6279131,512888194.1860277,499508164.88808244,899111561,489502701.0
2024-08-08 05:00:00,559046849.0408549,512975441.1860277,499605941.38476664,899280358,489586710.0
2024-08-08 06:00:00,559141354.2525433,513066043.65287703,499703393.49083036,899448793,489675361.0
2024-08-08 07:00:00,559241714.7507057,513163570.65287703,499800521.32939607,899617829,489768535.0
2024-08-08 08:00:00,559346176.8582444,513263786.74164414,499897325.0304674,899787683,489865889.0
2024-08-08 09:00:00,559457504.6831896,513367971.7739729,499993804.7313412,899957643,489966976.0
2024-08-08 10:00:00,559573211.7989312,513476882.61698663,500089960.5770457,900128431,490071713.0
2024-08-08 11:00:00,559689714.1361204,513591037.61698663,500185792.720806,900299931,490180266.0
2024-08-08 12:00:00,559816011.1877242,513708472.14958936,500281301.3245392,900472657,490292334.0
2024-08-08 13:00:00,559953237.9029417,513834013.14958936,500376486.55937976,900645539,490407369.0
2024-08-08 14:00:00,560091266.6366408,513956279.14958936,500471348.60623914,900818278,490524370.0
2024-08-08 15:00:00,560232769.5485172,514082749.14958936,500565887.6563999,900991126,490642415.0
2024-08-08 16:00:00,560377877.5811936,514211157.5769866,500660103.91214776,901163776,490761315.0
2024-08-08 17:00:00,560522985.6138699,514340114.44931537,500753997.58744353,901336020,490880550.0
2024-08-08 18:00:00,560668093.6465462,514463839.44931537,500847568.908638,901507740,490998285.0
2024-08-08 19:00:00,560806122.3802453,514586105.44931537,500940818.1152317,901677973,491113772.0
